sample,time,Throttle,SpeedMPH,RPM,CalcLoad,MAFVolts,MAF,STFT,LTFT,IAT,ECT,AFR,TargetAFR,CatTemp
84,21.000,15.2941,0,1804.25,32.9412,1.53809,11.3,0,0,24,19,.950228,.997808,296.6
85,21.150,15.2941,0,1807,32.9412,1.53809,11.3,0,0,24,19,.955107,.997991,296.6
86,21.300,15.2941,0,1806,32.9412,1.54297,11.4,0,0,24,19,.96383,.998326,296.6
87,21.450,15.2941,0,1797.5,32.9412,1.52832,11.1,0,0,24,19,.970479,.99854,303
88,21.600,15.2941,0,1795,32.9412,1.5332,11.2,0,0,24,19,.984967,.998966,303
89,21.750,15.2941,0,1789.75,32.9412,1.5332,11.1,0,0,24,19,.995093,.999302,303
90,21.900,15.2941,0,1784.5,32.9412,1.53809,11.2,0,0,24,19,1.01117,.999698,311.8
91,22.050,15.2941,0,1775,33.3333,1.53809,11.25,0,0,24,19,1.02913,1.0001,311.8
92,22.200,15.2941,0,1773.25,33.3333,1.53809,11.2,0,0,25,19,1.04478,1.00037,311.8
93,22.350,15.2941,0,1778,33.3333,1.53809,11.2,0,0,24,19,1.06131,1.00061,311.8
94,22.500,15.2941,0,1783.75,32.9412,1.54297,11.25,0,0,24,19,1.06924,1.00074,320.5
95,22.650,15.2941,0,1778.5,32.9412,1.54297,11.2,0,0,24,19,1.08184,1.00095,320.5
96,22.800,15.2941,0,1778,32.9412,1.5332,11.1,0,0,24,19,1.09053,1.00107,320.5
97,22.950,15.2941,0,1775,32.549,1.52344,10.9,0,0,24,19,1.10709,1.00135,329
98,23.100,15.2941,0,1760.75,32.9412,1.52832,11.05,0,0,25,19,1.1188,1.00153,329
99,23.250,15.2941,0,1762.25,32.9412,1.5332,11.15,0,0,25,19,1.12161,1.00159,329
100,23.400,15.2941,0,1761,32.9412,1.5332,11.05,0,0,25,19,1.13292,1.00177,329
101,23.550,15.2941,0,1764.25,32.9412,1.5332,11.2,0,0,25,19,1.1292,1.00171,337.5
102,23.700,15.2941,0,1761.25,33.3333,1.5332,11.1,0,0,25,19,1.14735,1.00202,337.5
103,23.850,15.2941,0,1763.25,32.9412,1.51855,10.95,0,0,25,20,1.13893,1.00186,337.5
104,24.000,15.2941,0,1772,32.9412,1.52832,11.05,0,0,25,20,1.13301,1.00177,345.8
105,24.150,15.2941,0,1771.5,32.9412,1.52344,11,0,0,25,20,1.14027,1.00189,345.8
106,24.300,15.2941,0,1767,32.9412,1.5332,11.1,0,0,25,20,1.15452,1.00214,345.8
107,24.450,15.2941,0,1765.75,33.3333,1.5332,11.1,0,0,25,20,1.15866,1.0022,354.2
108,24.600,15.2941,0,1764.5,32.9412,1.52344,11.05,0,0,25,20,1.15613,1.00214,354.2
109,24.750,15.2941,0,1763,32.9412,1.5332,11.1,0,0,25,20,1.15055,1.00205,354.2
